SEDE;BLOCO B;GESTÃO QUALIDADE CARRIER 60.000BTUs - 19B
SEDE;BLOCO C;CORPORATIVO  CARRIER 60000BTUs - 01C
SEDE;BLOCO C;RN SALÃO CARRIER 60000BTUs - 02C
SEDE;BLOCO C;RN SALÃO CARRIER 60000BTUs - 03C
SEDE;BLOCO C;RN SALÃO CARRIER 60000BTUs - 04C
SEDE;BLOCO C;RN SALÃO CARRIER 60000BTUs - 05C
SEDE;BLOCO C;RN SALÃO CARRIER 60000BTUs - 06C
SEDE;BLOCO C;RN SALA DE REUNIÃO 1 MIDEA 36000BTUs - 07C
SEDE;BLOCO C;COPA CARRIER 36000BTUs - 08C
SEDE;BLOCO C;RN SALA DE REUNIÃO 2 MIDEA 22000BTUs - 09C
SEDE;BLOCO C;DATA CENTER - 1 MIDEA 36000BTUs - 10C
SEDE;BLOCO C;DATA CENTER - 2 CARRIER 48000BTUs - 11C
SEDE;BLOCO C;NOBREACK BATERIA - 1 CARRIER 48000BTUs - 12C
SEDE;BLOCO C;NOBREACK BATERIA - 2 CARRIER 18000BTUs - 13C
SEDE;BLOCO C;NOBREACK BATERIA - 3 CARRIER 18000BTUs - 14C
SEDE;BLOCO D;CAIXAS ELETRÔNICOS CARRIER 36000BTUs - 01D
SEDE;BLOCO D;CONSULTÓRIO ODONTOLÓGICO GREE 24000BTUs - 02D
SEDE;BLOCO D;RECEPÇÃO CONSULTÓRIO MIDEA 30000BTUs - 03D
SEDE;BLOCO D;ARQUIVO MIDEA 9000BTUs - 04D
SEDE;BLOCO D;CONSULTÓRIO II PHILCO 12000BTUs - 05D
SEDE;BLOCO D;CONSULTÓRIO I  MIDEA 9000BTUs - 06D
SEDE;PORTARIA;SC SEGURANÇA CARRIER 22000BTUs - 01PO
SEDE;PORTARIA;SE-RECEPÇÃO CARRIER 60000BTUs - 02PO
SEDE;PORTARIA;SC-PROTOCOLO GERAL  CARRIER 18000BTUs - 03PO
SEDE;BLOCO E;REFEITÓRIO SPRINGER 60000BTUs - 01E
SEDE;BLOCO E;REFEITÓRIO CARRIER 60000BTUs - 02E
SEDE;BLOCO E;REFEITÓRIO CARRIER 60000BTUs -    03E        
SEDE;BLOCO E;REFEITÓRIO CARRIER 48000BTUs - 04E
SEDE;BLOCO E;SALA REUNIÕA YORK 60000BTUs - 05E
SEDE;BLOCO E;DIGITALIZAÇÃO CARRIER 22000BTUs - 06E
SEDE;BLOCO E;SALA CSF AGRATTO 22000BTUs - 07E
SEDE;BLOCO E;SALA CSF AGRATTO 22000BTUs - 08E
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 18000BTUs - 01F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 60000BTUs - 02F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 36000BTUs - 03F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 36000BTUs - 04F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 36000BTUs - 05F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 36000BTUs - 06F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 48000BTUs - 07F
SEDE;BLOCO F;TREINAMENTO COFF BRACK CONSUL 12000BTUs - 08F
SEDE;BLOCO F;GERENCIA DE GESTÃO-TREINAMENTO CARRIER 36000BTUs - 09F
SEDE;BLOCO G;CONTROLADIA - ARQUIVO CARRIER 24000BTUs - 01G
SEDE;BLOCO G;CONTROLADIA - ARQUIVO CARRIER 60000BTUs - 02G
SEDE;BLOCO G;CONTROLADORIA GETRONIC CARRIER 36000BTUs - 03G
SEDE;BLOCO G;CONTROLADORIA-APOIO DE OPERAÇAO E ARQUIVO CARRIR 24000BTUs - 04G
SEDE;BLOCO G;CONTROLADORIA-GETRONIC CARRIER 48000BTUs - 05G
SEDE;BLOCO H;GEREN.PROCESSAMNETO-COI-PERT-OPERAÇÃO TRANS. CARRIER 48000BTUs - 01H
SEDE;BLOCO H;GEREN.PROCESSAMNETO-COI-PERT-OPERAÇÃO TRANS. CARRIER 60000BTUs - 02H
SEDE;BLOCO H;GEREN.PROCESSAMNETO-COI-PERT-OPERAÇÃO TRANS. CARRIER 48000BTUs - 03H
SEDE;BLOCO H;GEREN.PROCESSAMNETO-COI-PERT-OPERAÇÃO TRANS. CARRIER 30000BTUs - 04H
SEDE;BLOCO H;GEREN.PROCESSAMNETO-COI-PERT-OPERAÇÃO TRANS. CARRIER 30000BTUs - 05H
SEDE;BLOCO H;GEREN.PROCESSAMNETO-COI-PERT-OPERAÇÃO TRANS. CARRIER 48000BTUs - 06H
SEDE;BLOCO H;OPERAÇÃO TRANSMISSÃO CARRIER 48000BTUs - 07H
SEDE;BLOCO H;CTEL -SALA DE REUNIÃO CARRIER 48000BTUs - 08H
SEDE;BLOCO H;SALA DE RÁDIO GREE 48000BTUs - 09H
SEDE;BLOCO H;SALA DE REUNIÃO  CARRIER 18000BTUs - 10H
SEDE;BLOCO H;GERENCIA-PROCESSAMENTO-REUNIÃO YORK 36000BTUs - 11H
SEDE;BLOCO H;GERENCIA - RACK ACJ SPRINGER 7,5.000BTUs - 12H
SEDE;BLOCO H;GERE.PROCES.TECNICO CARRIER 36000BTUs - 13H
SEDE;BLOCO H;GERE.PROCES.MONIT. CARRIER 48000BTUs - 14H
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO CARRIER 60000BTUs - 01I
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO YORK 48000BTUs - 02I
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO YORK 48000BTUs - 03I
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO YORK 36000BTUs - 04I
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO YORK 48000BTUs - 05I
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO CARRIER 24000BTUs - 06I
SEDE;BLOCO I;SERV.RED SALÃO DO TRABALHO CARRIER 36000BTUs - 07I
SEDE;BLOCO J;SER.REDE SALA DE ELETRECISTA CARRIER 36000BTUs - 01J
SEDE;BLOCO J;SER.REDE SALA DE ELETRECISTA IORK 48000BTUs - 02J
SEDE;BLOCO K;MANUTENÃO-DMS MINIMAX 10000BTUs - 01K
SEDE;BLOCO K;MANUTENÃO-DMS MINIMAX 10000BTUs - 02K
SEDE;BLOCO K;MANUTENÇÃO-DMS-REUNIÃO  CARRIER 30000BTUs - 03K
SEDE;BLOCO K;EXPANSÃO NORTE -DMS SPRINGER 18000BTUs - 04K
SEDE;BLOCO K;EXPANSÃO NORTE -DMS SPRINGER 30000BTUs - 05K
SEDE;BLOCO K;EXPANSÃO NORTE S.PADROES COMFEE 12000BTUs - 06K
SEDE;BLOCO K;MANT.REG.NORTE S. PADORES SPRINGER 30000BTUs - 07K
SEDE;BLOCO K;MANUTEN.S.PADORES YORK 46000BTUs - 08K
SEDE;BLOCO K;MANUT.LAB.MEDIDORES  MINIMAX 21000BTUs - 09K
SEDE;BLOCO K;MANT.CGB-ENGENHARIA MINIMAX 21000BTUs - 10K
SEDE;BLOCO K;MANUENÇÃO-REUNIÃO YORK 60000BTUs - 11K
SEDE;BLOCO K;EXPANÇÃO NORTE -.LANDY  YORK 60000BTUs - 12K
SEDE;BLOCO K;EXPANSÃO NORTE- ELLCA MIDEA 22000BTUs - 13K
SEDE;BLOCO K;EXPANÇÃO NORTE MATERIAL SER.REDE MIDEA 10000BTUs - 14K
SEDE;BLOCO L ;LABORATÓRIO  QUIMICO CARRIER 18000BTUs - 01L
SEDE;BLOCO L ;LABORATÓRIO  QUIMICO YORK 48000BTUs - 02L
SEDE;BLOCO L ;LABORATÓRIO  QUIMICO GREE 10000BTUs - 03L
SEDE;BLOCO L ;LABORATÓRIO  QUIMICO MIDEA 9000BTUs - 04L
SEDE;BLOCO L ;ELETRECISTA MIDEA 9000BTUs - 05L
SEDE;BLOCO L ;OFICINA CARRIER 36000BTUs - 06L
SEDE;BLOCO L ;SALA DE TESTE GREE 21000BTUs - 07L
SEDE;BLOCO M;SC-SALÇAO ESPAÇO LASER GREE 60000BTUs - 01M
SEDE;BLOCO M;SC-SALÇAO ESPAÇO LASER GREE 60000BTUs - 02M
SEDE;BLOCO M;SC-SALÇAO ESPAÇO LASER GREE 60000BTUs - 03M
SEDE;BLOCO M;SC-SALÇAO ESPAÇO LASER GREE 60000BTUs - 04M
SEDE;BLOCO M;SC-SALA ARTES ESPAÇO LASER CARRIER 36000BTUs - 05M
SEDE;BLOCO M;SC-ESPAÇO-LASER ACADEMIA CARRIER 30000BTUs - 06M
SEDE;BLOCO M;SC-ESPAÇO-LASER-JOGOS CARRIER 12000BTUs - 07M
SEDE;BLOCO M;SC-ESPAÇO LASER LEITURA CARRIER 12000BTUs - 08M
SEDE;BLOCO M;SC-ESPAÇO-LASER ACADEMIA CARRIER 48000BTUs - 09M
SEDE;BLOCO N;GP-DEPT-MÉDIO-ATENDIMENTO CARRIER 12000BTUs - 01N
SEDE;BLOCO N;GP-EMFERMAGEM MIDEA 9000BTUs - 02N
SEDE;BLOCO N;GP-CONSULTORIO 01 AGRATTO 24000BTUs - 03N
SEDE;BLOCO N;GP-CONSULTORIO 03 MIDEA 9000BTUs - 04N
SEDE;BLOCO N;GP-ARQUIVO MIDEA 30000BTUs - 05N
SEDE;BLOCO O;SALA REUNIÃO YORK 12000BTUs - 01O
SEDE;BLOCO O;SALA REUNIÃO YORK 12000BTUs - 02O
SEDE;BLOCO O;ESC.JR MIDEA 24000BTUs - 03O
SEDE;BLOCO O;REFEITÓRIO CARRIR 36000BTUs - 04O
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO DIREITO SPRINGER 60000BTUs - 01P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO DIREITO SPRINGER 60000BTUs - 02P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO DIREITO SPRINGER 60000BTUs - 03P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - FUNDOS SPRINGER 60000BTUs - 04P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - FUNDOS SPRINGER 60000BTUs - 05P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - FUNDOS SPRINGER 60000BTUs - 06P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO ESQUERDO SPRINGER 60000BTUs - 07P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO ESQUERDO SPRINGER 60000BTUs - 08P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO ESQUERDO SPRINGER 60000BTUs - 09P
SEDE;BLOCO P;RESTAURANTE - SALADAS E SOBREMESAS SPRINGER 36000BTUs - 10P
SEDE;BLOCO P;RESTAURANTE - AÇOUGUE CARRIER 36000BTUs - 11P
SEDE;BLOCO P;RESTAURANTE - ESCRITÓRIO NUTRICIONISTA MIDEA 9000BTUs - 12P
SEDE;BLOCO P;SALÃO DO RESTAURANTE - LADO ESQUERDO CARRIER 60000BTUs - 13P
SEDE;BLOCO Q;EXPANS.NORTE-SALÃO YORK 60000BTUs - 01Q
SEDE;BLOCO Q;EXPANS.NORTE-SALÃO CARRIER 60000BTUs - 02Q
SEDE;BLOCO Q;EXPANS.NORTE-SALÃO CARRIER 60000BTUs - 03Q
SEDE;BLOCO Q;EXPANS.NORTE-SALÃO CARRIER 48000BTUs - 04Q
SEDE;BLOCO Q;EXPANS.NORTE-SALÃO CARRIER 60000BTUs - 05Q
SEDE;BLOCO Q;ALMOXA.REUNIÃO CARRIER 22000BTUs - 06Q
SEDE;BLOCO Q;ENERGIA MIDEA 18000BTUs - 07Q
SEDE;BLOCO Q;COPA CARRIER 48000BTUs - 08Q
SEDE;BLOCO Q;REUNIÃO MIDEA 18000BTUs - 09Q
SEDE;BLOCO Q;REUNIÃO AGRATTO 9000BTUs - 10Q
SEDE;BLOCO Q;REUNIÃO AGRATTO 9000BTUs - 11Q
SEDE;BLOCO Q;REUNIÃO AGRATTO 9000BTUs - 12Q
SEDE;BLOCO R;GSL-ALMOXARIFADO RECEPÇÃO YORK 60000BTUs - 01R
SEDE;BLOCO R;GSL-ALMOX.ESCRITÓRIO MIDEA 30000BTUs - 02R
SEDE;BLOCO R;GSL-ALTOS GALPÃO 1 CARRIER 30000BTUs - 03R
SEDE;BLOCO R;GSL-ALTOS-GALPÃO 01 SILENCIA 21000BTUs - 04R
SEDE;BLOCO R;GSL-GALPÃO 5 DMS MUNDIAL 18000BTUs - 05R
SEDE;BLOCO R;GSL-GALPÃO 5 DMS GREE 21000BTUs - 06R
SEDE;BLOCO R;GLS-GALPÃO 5 DMS YORK 48000BTUs - 07R
SEDE;BLOCO R;GSL-GALPÃO 5 DMS YORK 60000BTUs - 08R
SEDE;BLOCO R;GSL-GALPÃO 5 DMS CARRIER 30000BTUs - 09R
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;PARAGOMINAS CARRIER 18.000BTUs - 01CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;ODONTOLOGIA CARRIER 18.000BTUs - 02CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;REUNIÃO CARRIER 18.000BTUs - 03CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;RECEPÇÃO ELETROLUX 12.000BTUs - 04CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;SALÃO CARRIER 60.000BTUs - 05CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;55 SALÃO CARRIER 22.000BTUs - 06CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;55 SALÃO CARRIER 60.000BTUs - 07CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;SALÃO CARRIER 60.000BTUs - 08CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;SALÃO CARRIER 60.000BTUs - 09CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;SALÃO CARRIER 60.000BTUs - 10CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;SALÃO CARRIER 60.000BTUs - 11CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;SALÃO CARRIER 60.000BTUs - 12CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;COPA CARRIER 22.000BTUs - 13CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;DESCANSO ELETROLUX 12.000BTUs - 14CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;CAPANEMA CARRIER 18.000BTUs - 15CT
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;T.I CARRIER 36.000BTUs - 01T
SEDE;SEDE CASTANHAL - REGIONAL NORDESTE;T.I ELGIM 24.000BTUs - 02T
